row_id,repository,baseline_commit,baseline_path,baseline_line,line_sha256,assignment,classification,release_a_disposition,current_line,baseline_excerpt
fba36d0735d7bd09,caura-ai/caura-onprem-installer,c45fc56,README.md,86,8f18059ed08dc4b53e2d6daeff40212a38854e06a34fd27204b70dd19628ce1c,identity,onprem-command,still-bare,86,- Support bundles: `{legacy-command} support bundle` produces a redacted
ee4c582e31196ccd,caura-ai/caura-onprem-installer,c45fc56,docs/day2-ops.md,51,99012bd5209559ffa542dfff0dea690d05a519ebae19a54baf845d80022464bc,identity,onprem-command,still-bare,51,"{legacy-command} support bundle --notes ""recall 503 under load"""
51edb8605bf2154e,caura-ai/caura-onprem-installer,c45fc56,docs/day2-ops.md,82,d793caf4bc8df4c1f71fcfff2c0e0adafb5a4dc7b7132a4ac5da03e6af37a3e8,identity,onprem-command,still-bare,82,docker compose exec platform-admin-api {legacy-command} license load /etc/{legacy-brand}/license.key
d9dc0b44247b3031,caura-ai/caura-onprem-installer,c45fc56,docs/day2-ops.md,83,a6d5db9d8997b16a9676ce0735baef42ad47d77da658c3147bbb3ef9316ae105,identity,onprem-command,still-bare,83,docker compose exec platform-auth-api  {legacy-command} license load /etc/{legacy-brand}/license.key
b8ad70caa3f57487,caura-ai/caura-onprem-installer,c45fc56,docs/install-airgap.md,137,2548a05015d3df99ceb96d6893b6a12468d298c4937253deafd9e0f0d1070684,identity,onprem-command,still-bare,137,docker compose exec platform-admin-api {legacy-command} license load \
44024c64aace3e51,caura-ai/caura-onprem-installer,c45fc56,docs/logging.md,84,16abe60e6bfc7ce889f43305776beb8e08b602c203b1355ea746893a46893d40,identity,onprem-command,still-bare,84,`{legacy-command} support bundle` produces a redacted tarball for Caura
822131863deafdfd,caura-ai/caura-onprem-installer,c45fc56,docs/logging.md,88,b9bd20fffbe0c7f06e448569d366ed7f86adfdff9eeb8df0f2c9cab072c9db16,identity,onprem-command,still-bare,88,$ {legacy-command} support bundle
78df532fee7c3b33,caura-ai/caura-onprem-installer,c45fc56,docs/logging.md,91,2ecb720764343be632f53c426be26a6452b084d1347fd8a099882776d71bd5c9,identity,onprem-command,still-bare,91,Secrets redacted. Review with: {legacy-command} support review …
8bd6e6a02a359706,caura-ai/caura-onprem-installer,c45fc56,docs/logging.md,125,0cc1c6ca990f1c738fe92787081aef37c4dafaa2ebf6f5179bc2063e5e839d6a,identity,onprem-command,still-bare,125,`{legacy-command} support review <bundle>` runs a second-pass shape scanner
e526ee7c94679a03,caura-ai/caura-onprem-installer,c45fc56,docs/logging.md,130,8dce4b290a7080c1aa07064fc51e60e50ef9153474c6a7d40d6c40ce3bc9ccfe,identity,onprem-command,still-bare,130,"{legacy-command} support bundle --out-dir /tmp --notes ""recall 503 under load"""
